Defect-ID;Titel;Severity;Priority;Schritte_zur_Reproduktion;Soll;Ist;Evidenz;Status;Korrekturmassnahme
DEF-01;Mitarbeiter sieht fremde Tasks;High;P1;API starten und GET /api/tasks mit token-alice aufrufen;Alice erhält nur den eigenen Task t1;Alice erhält t1 und den fremden Task t2;Evidenz/npm_test_vor_fix.txt;Offen;listTasks nach ownerId filtern
DEF-02;Mitarbeiter kann fremde Tasks bearbeiten;High;P1;API starten und PATCH /api/tasks/t1 als Bob mit Status DONE senden;HTTP 403 und Task t1 bleibt unverändert;Die Berechtigungsprüfung erlaubt Bob die Bearbeitung;Evidenz/npm_test_vor_fix.txt npm_test_nach_DEF02_fix;Behoben und retestet;Eigentümer oder Admin in canEditTask prüfen - canEditTask prüft nun Adminrolle oder Übereinstimmung von task.ownerId und user.id
DEF-03;Falsche Standardpriorität beim Erstellen;Medium;P2;Task ohne priority als Alice erstellen;Neuer Task erhält priority MEDIUM;Neuer Task erhält priority LOW;Evidenz/npm_test_vor_fix.txt;Offen;Standardwert in createTask auf MEDIUM ändern
DEF-04;Ungültige Titellänge wird akzeptiert;Medium;P2;Task mit dem Titel AB erstellen;HTTP 400 wegen weniger als drei Zeichen;Der Titel erzeugt keinen Validierungsfehler;Evidenz/npm_test_vor_fix.txt;Offen;Getrimmte Titellänge zwischen 3 und 100 prüfen
DEF-05;Ungültiges JSON liefert internen Fehler und Stacktrace;High;P1;POST /api/tasks mit gültigem Token und syntaktisch ungültigem JSON senden;HTTP 400 ohne interne Implementierungsdetails;HTTP 500 mit Stacktrace und Dateipfaden;Evidenz/npm_test_vor_fix.txt;Offen;SyntaxError separat behandeln und sichere Fehlerantwort senden
DEF-06;Kontosperre erfolgt erst nach sechs Fehlversuchen;High;P1;Server neu starten fünf falsche Loginversuche für Alice senden und danach einen weiteren Login durchführen;Nach fünf Fehlversuchen ist das Konto gesperrt und der nächste Login liefert HTTP 423;Nach fünf Fehlversuchen ist das Konto noch nicht gesperrt die Sperrung erfolgt erst nach dem sechsten Fehlversuch;Evidenz/API-11-kontosperre-erst-nach-sechs-fehlversuchen.png;Offen;Bedingung für die Sperrung von failedAttempts groesser 5 auf groesser oder gleich 5 korrigieren
DEF-07;Erfolgreicher Login setzt Fehlversuchszähler nicht zurück;High;P1;Server neu starten vier falsche Loginversuche senden danach erfolgreich anmelden und anschliessend weitere falsche Loginversuche senden;Der erfolgreiche Login setzt den Fehlversuchszähler auf 0 zurück und nach vier weiteren Fehlversuchen ist das Konto nicht gesperrt;Nach dem erfolgreichen Login blieben die vier Fehlversuche gespeichert und nach zwei weiteren Fehlversuchen wurde das Konto gesperrt;Evidenz/API-12-fehlversuche-werden-nicht-zurueckgesetzt.png;Offen;Nach einem erfolgreichen Login user.failedAttempts auf 0 setzen
